"state","n_pharmacies","available_pharmacies","pct_available"
"AK",65,32,49.2307692307692
"AL",870,213,24.4827586206897
"AR",350,45,12.8571428571429
"AZ",842,385,45.7244655581948
"CA",3651,1842,50.4519309778143
"CO",763,274,35.910878112713
"CT",414,202,48.792270531401
"DC",99,53,53.5353535353535
"DE",154,57,37.012987012987
"FL",3242,450,13.880320789636
"GA",1395,581,41.6487455197133
"HI",134,63,47.0149253731343
"IA",408,157,38.4803921568627
"ID",161,67,41.6149068322981
"IL",1494,524,35.0736278447122
"IN",773,371,47.9948253557568
"KS",366,127,34.6994535519126
"KY",644,222,34.472049689441
"LA",538,138,25.6505576208178
"MA",773,318,41.1384217335058
"MD",624,264,42.3076923076923
"ME",137,18,13.1386861313869
"MI",1294,648,50.0772797527048
"MN",468,174,37.1794871794872
"MO",692,215,31.0693641618497
"MS",359,96,26.7409470752089
"MT",100,41,41
"NC",1125,437,38.8444444444444
"ND",91,27,29.6703296703297
"NE",266,71,26.6917293233083
"NH",157,79,50.3184713375796
"NJ",990,416,42.020202020202
"NM",215,20,9.30232558139535
"NV",313,126,40.2555910543131
"NY",1922,721,37.5130072840791
"OH",1374,729,53.056768558952
"OK",491,66,13.4419551934827
"OR",407,214,52.5798525798526
"PA",1484,878,59.1644204851752
"PR",168,12,7.14285714285714
"RI",121,42,34.7107438016529
"SC",683,255,37.3352855051244
"SD",82,17,20.7317073170732
"TN",927,349,37.6483279395901
"TX",3253,1078,33.1386412542269
"UT",258,86,33.3333333333333
"VA",953,441,46.2749213011543
"VI",1,0,0
"VT",67,7,10.4477611940298
"WA",741,337,45.4790823211876
"WI",572,126,22.027972027972
"WV",261,66,25.2873563218391
"WY",67,25,37.3134328358209
,1,0,0
