"Date","Demographic_category","Administered_Dose1","Administered_Dose1_pct_known","Administered_Dose1_pct_US","Administered_Dose2","Administered_Dose2_pct_known","Administered_Dose2_pct_US","Series_Complete_Yes","Series_Complete_Pop_Pct_known","Series_Complete_Pop_Pct_US","Administered_Dose1_pct_agegroup","Series_Complete_Pop_pct_agegroup","census","pullid","insertdate"
"2021-05-05","Age_known",137236167,0,92,91314080,0,92,99095832,0,92,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Age_unknown",11326724,0,0,7589953,0,0,8250701,0,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Ages_<18yrs",2042858,1.5,0,676543,0.7,0,687763,0.7,0,2.8,0.9,73037927,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Ages_18-29_yrs",17699356,12.9,0,9000800,9.9,0,10197817,10.3,0,33.4,19.2,53027982,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Ages_30-39_yrs",18304226,13.3,0,10641421,11.7,0,11854522,12,0,41.8,27,43827888,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Ages_40-49_yrs",19252975,14,0,11632124,12.7,0,12972583,13.1,0,47.9,32.3,40194520,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Ages_50-64_yrs",37455819,27.3,0,24899949,27.3,0,27576419,27.8,0,59.5,43.8,62906022,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Ages_65-74_yrs",24994074,18.2,0,20052424,22,0,20948543,21.1,0,79.4,66.5,31483433,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Ages_75+_yrs",17486859,12.7,0,14410819,15.8,0,14858185,15,0,77.5,65.8,22574830,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Race_eth_Hispanic",10338162,12.6,0,5829191,10.1,0,6476026,10.3,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Race_eth_known",82328374,0,55.4,57996742,0,58.6,62580781,0,58.3,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Race_eth_NHAIAN",864997,1.1,0,643716,1.1,0,671876,1.1,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Race_eth_NHAsian",4751400,5.8,0,2838328,4.9,0,3042982,4.9,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Race_eth_NHBlack",7219392,8.8,0,4904016,8.5,0,5348129,8.5,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Race_eth_NHMult_Oth",6816102,8.3,0,4753088,8.2,0,4993222,8,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Race_eth_NHNHOPI",230842,0.3,0,149750,0.3,0,159819,0.3,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Race_eth_NHWhite",52107479,63.3,0,38878653,67,0,41888727,66.9,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Race_eth_unknown",66234517,80.5,0,40907291,70.5,0,44765752,71.5,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Sex_Female",72853603,53.7,0,49864780,55.1,0,53661705,54.7,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Sex_known",135685474,0,91.3,90433519,0,91.4,98115196,0,91.4,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Sex_Male",62831871,46.3,0,40568739,44.9,0,44453491,45.3,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","Sex_unknown",12877417,9.5,0,8470514,9.4,0,9231337,9.4,0,0,0,0,1522,"2021-05-05T12:28:16.053"
"2021-05-05","US",148562891,0,0,98904033,0,0,107346533,0,0,0,0,0,1522,"2021-05-05T12:28:16.053"
